StuffKey,StuffCode,StuffName,BrandProductTitle,GroupProductTitle,ProductCode,StockGroupTitle,StockRoomTitle,ClassNameL1,ClassNameL2
32838,837281125,لوله فاضلابی پوشفیت یکسرسوکت 125-250 گروه BD,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,281125,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن BD-250
32839,837281160,لوله فاضلابی پوشفیت یکسرسوکت 160-250 گروه BD,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,281160,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن BD-250
32840,837301050,لوله فاضلابی پوشفیت یکسرسوکت 50-500 گروه BD,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,301050,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن BD-500
32841,837301063,لوله فاضلابی پوشفیت یکسرسوکت 63-500 گروه BD,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,301063,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن BD-500
32842,837301075,لوله فاضلابی پوشفیت یکسرسوکت 75-500 گروه BD,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,301075,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن BD-500
32843,837301090,لوله فاضلابی پوشفیت یکسرسوکت 90-500 گروه BD,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,301090,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن BD-500
32844,837301110,لوله فاضلابی پوشفیت یکسرسوکت 110-500 گروه BD,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,301110,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن BD-500
32845,837301125,لوله فاضلابی پوشفیت یکسرسوکت 125-500 گروه BD,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,301125,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن BD-500
32846,837301160,لوله فاضلابی پوشفیت یکسرسوکت 160-500 گروه BD,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,301160,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن BD-500
32847,837302050,لوله فاضلابی پوشفیت دوسرسوکت 50-500 گروه BD,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,302050,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن BD-500
32848,837302063,لوله فاضلابی پوشفیت دوسرسوکت 63-500 گروه BD,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,302063,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن BD-500
32849,837302075,لوله فاضلابی پوشفیت دوسرسوکت 75-500 گروه BD,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,302075,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن BD-500
32850,837302090,لوله فاضلابی پوشفیت دوسرسوکت 90-500 گروه BD,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,302090,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن BD-500
32851,837302110,لوله فاضلابی پوشفیت دوسرسوکت 110-500 گروه BD,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,302110,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن BD-500
32852,837302125,لوله فاضلابی پوشفیت دوسرسوکت 125-500 گروه BD,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,302125,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن BD-500
32853,837302160,لوله فاضلابی پوشفیت دوسرسوکت 160-500 گروه BD,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,302160,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن BD-500
